序号	汉字	累计频率	频率	拼音	英文	
1	的	3.20749981	3.20749981	de/di2/di4	"(possessive particle)/of, really and truly, aim/clear"	
2	一	4.647855207	1.440355397	yi1	one/1/single/a(n)	
3	不	5.839153459	1.191298252	bu4/bu2	(negative prefix)/not/no	
4	是	7.004775713	1.165622254	shi4	is/are/am/yes/to be	
5	了	8.004814183	1.00003847	le/liao3/liao4	"(modal particle intensifying preceding clause)/(completed action marker), to know/to understand/to know, clear, look afar from a high place"	
6	人	8.973738425	0.968924242	ren2	man/person/people	
7	在	9.849063468	0.875325043	zai4	(located) at/in/exist	
8	有	10.71799337	0.868929899	you3	to have/there is/there are/to exist/to be	
9	我	11.46708288	0.749089515	wo3	I/me/myself	
10	他	12.17613881	0.709055927	ta1	he/him	
11	这	12.84667939	0.670540577	zhe4/zhei4	"this/these, this/these/(sometimes used before a measure word, especially in Beijing)"	
12	为	13.4203158	0.573636409	wei2/wei4	"act as/take...to be/to be/to do/to serve as/to become, because of/for/to"	
13	之	13.98427527	0.563959475	zhi1	(literary equivalent of 的)/(subor. part.)/him/her/it	
14	来	14.54119869	0.556923425	lai2	to come	
15	大	15.08747745	0.546278759	da4/dai4	"big/huge/large/major/great/wide/deep/oldest/eldest, doctor"	
16	以	15.63225343	0.544775973	yi3	to use/according to/so as to/in order to/by/with/because/Israel (abbrev.)	
17	个	16.16938219	0.537128765	ge4	(a measure word)/individual	
18	中	16.70401378	0.534631592	zhong1/zhong4	"within/among/in/middle/center/while (doing sth)/during/China/Chinese, hit (the mark)"	
19	上	17.23373409	0.529720303	shang4	"on/on top/upon/first (of two parts)/previous or last (week, etc.)/upper/higher/above/previous/to climb/to go into/above/to go up"	
20	们	17.71031141	0.476577326	men	(plural marker for pronouns and a few animate nouns)	
21	到	18.1441231	0.433811682	dao4	to (a place)/until (a time)/up to/to go/to arrive	
22	说	18.57280406	0.428680964	shui4/shuo1	"persuade (politically), to speak/to say"	
23	国	18.99935601	0.426551953	guo2	country/state/nation	
24	和	19.41968512	0.420329107	he2/he4/huo2/huo4	"and/together with/with/peace/harmony/union, cap (a poem)/respond in singing, soft/warm, mix together/to blend"	
25	地	19.83264092	0.412955801	de/di4	"(subor. part. adverbial)/-ly, earth/ground/field/place/land"	
26	也	20.23690761	0.404266687	ye3	also/too	
27	子	20.63702367	0.400116063	zi3/zi	"11 p.m.-1 a.m./1st earthly branch/child/midnight/son/child/seed/egg/small thing, (noun suff.)"	
28	时	21.03274071	0.395717035	shi2	o'clock/time/when/hour/season/period	
29	道	21.40945079	0.376710082	dao4	direction/way/method/road/path/principle/truth/reason/skill/method/Tao (of Taoism)/a measure word/to say/to speak/to talk	
30	出	21.77779974	0.368348954	chu1	"to go out/to come out/to occur/to produce/to go beyond/to rise/to put forth/to occur/to happen/(a measure word for dramas, plays, or operas)"	
31	而	22.13687547	0.359075725	er2	and/as well as/but (not)/yet (not)/(shows causal relation)/(shows change of state)/(shows contrast)	
32	要	22.49363404	0.356758576	yao1/yao4	"demand/ask/request/coerce, important/vital/to want/to be going to/must"	
33	于	22.84100736	0.347373314	yu2	"(surname), in/at/to/from/by/than/out of"	
34	就	23.18739092	0.346383561	jiu4	at once/then/right away/only/(emphasis)/to approach/to move towards/to undertake	
35	下	23.53144844	0.344057528	xia4	"under/second (of two parts)/next (week, etc.)/lower/below/underneath/down(wards)/to decline/to go down/latter"	
36	得	23.87492147	0.343473025	de2/de/dei3	"obtain/get/gain/proper/suitable/proud/contented/allow/permit/ready/finished, a sentence particle used after a verb to show effect/degree or possibility, to have to/must/ought to/to need to"	
37	可	24.21602133	0.34109986	ke3	can/may/able to/certain(ly)/to suit/(particle used for emphasis)	
38	你	24.55330976	0.337288425	ni3	you	
39	年	24.88416943	0.330859671	nian2	year	
40	生	25.20289555	0.318726127	sheng1	to be born/to give birth/life/to grow	
41	自	25.51424181	0.311346252	zi4	from/self/oneself/since	
42	会	25.82308548	0.30884367	hui4/kuai4	"can/be possible/be able to/to assemble/to meet/to gather/to see/union/group/association, to balance an account/accounting"	
43	那	26.12712062	0.304035143	na3/na4/nei4	"how/which, that/those, that/those/(sometimes used before a measure word, especially in Beijing)"	
44	后	26.42418075	0.297060132	hou4	"empress/queen/surname, back/behind/rear/afterwards/after/later"	
45	能	26.71700179	0.292821041	neng2	can/may/capable/energy/able	
46	对	27.00808246	0.291080668	dui4	couple/pair/to be opposite/to oppose/to face/for/to/correct (answer)/to answer/to reply/to direct (towards sth)/right	
47	着	27.29663698	0.288554521	zhao1/zhao2/zhe/zhu4/zhuo2	"catch/receive/suffer, part. indicates the successful result of a verb/to touch/to come in contact with/to feel/to be affected by/to catch fire/to fall asleep/to burn, -ing part. (indicates an action in progress)/part. coverb-forming after some verbs, to make known/to show/to prove/to write/book/outstanding, to wear (clothes)/to contact/to use/to apply"	
48	事	27.57757597	0.280938991	shi4	matter/thing/item/work/affair	
49	其	27.85021603	0.272640061	qi2	his/her/its/theirs/that/such/it (refers to sth preceding it)	
50	里	28.12202241	0.271806382	li3	"inside/internal/interior, village/within/inside, Chinese mile/neighborhood/li, a Chinese unit of length = one-half kilometer/hometown"	
51	所	28.39324236	0.271219948	suo3	actually/place	
52	去	28.66126976	0.268027398	qu4	to go/to leave/to remove	
53	行	28.92922607	0.267956315	hang2/xing2/xing4	"a row/profession/professional, all right/capable/competent/OK/okay/to go/to do/to travel/temporary/to walk/to go/will do, behavior/conduct"	
54	过	29.19521138	0.265985309	guo4	(experienced action marker)/to cross/to go over/to pass (time)/to celebrate (a holiday)/to live/to get along/(surname)/excessively/too-	
55	家	29.45983839	0.264627007	jia1	"furniture/tool, -ist/-er/-ian/home/family/a person engaged in a certain art or profession"	
56	十	29.70817659	0.248338203	shi2	ten/10	
57	用	29.95220617	0.244029574	yong4	to use	
58	发	30.19518418	0.242978011	fa1/fa4	"to send out/to show (one's feeling)/to issue/to develop, hair"	
59	天	30.43683788	0.241653705	tian1	day/sky/heaven	
60	如	30.67790709	0.241069203	ru2	as (if)/such as	
61	然	30.91881712	0.240910039	ran2	correct/right/so/thus/like this/-ly	
62	作	31.15842179	0.239604663	zuo4	to regard as/to take (somebody) for/to do/to make	
63	方	31.38594583	0.227524044	fang1	square/quadrilateral/direction/just	
64	成	31.61250098	0.226555153	cheng2/cheng4	"finish/complete/accomplish/become/turn into/win/succeed/one tenth, finish/complete/accomplish/become/turn into/win/succeed/one tenth"	
65	者	31.83669456	0.224193578	zhe3	"-ist, -er (person)/person (who does sth)"	
66	多	32.06032257	0.223628005	duo1	many/much/a lot of/numerous/multi-	
67	日	32.28084919	0.220526627	ri4	Japan/day/sun/date/day of the month	
68	都	32.49954814	0.218698946	dou1/du1	"all/both (if two things are involved)/entirely (due to)each/even/already, (surname)/metropolis/capital city"	
69	三	32.71706804	0.217519897	san1	three/3	
70	小	32.93048367	0.213415631	xiao3	small/tiny/few/young	
71	军	33.14339631	0.212912642	1-Jun	army/military/arms	
72	二	33.35579631	0.212399996	er4	two/2	
73	无	33.56817158	0.212375271	wu2	-less/not to have/no/none/not/to lack/un-	
74	同	33.77960655	0.211434968	tong2	like/same/similar/together/alike/with	
75	么	33.98835582	0.20874927	ma/me/yao1	"(interrog. part.), (interrog. suff.), one on dice/small"	
76	经	34.19469445	0.206338632	jing1	classics/sacred book/pass through/to undergo/scripture	
77	法	34.40025542	0.205560969	fa3	law/method/way/Buddhist teaching/Legalist/France (abbrev.)	
78	当	34.60560352	0.205348107	dang1/dang4	"to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at, at or in the very same.../to pawn/suitable/adequate/fitting/proper/replace/represent"	
79	起	34.80950525	0.203901724	qi3	to rise/to raise/to get up	
80	与	35.01337298	0.203867728	yu2/yu3/yu4	"(interrog. part.), and/to give/together with, take part in"	
81	好	35.21574796	0.202374987	hao3/hao4	"good/well, be fond of"	
82	看	35.41764353	0.201895563	kan1/kan4	"to look after/to take care of/to watch/to guard, it depends/think/to see/to look at"	
83	学	35.61826501	0.20062148	xue2	learn/study/science/-ology	
84	进	35.81881192	0.20054692	jin4	advance/enter/to come in	
85	种	36.01905095	0.200239022	zhong3/zhong4	"kind/type/race/breed/seed/species (taxonomy), to plant/to cultivate"	
86	将	36.21836551	0.199314558	jiang1/jiang4	"(will, shall, ""future tense"")/ready/prepared/to get/to use, a general"	
87	还	36.41763486	0.199269359	hai2/huan2/huan4	"also/in addition/more/still/else/still/yet/(not) yet, (surname)/pay back/return"	
88	分	36.61590829	0.198273425	fen1/fen4	"to divide/minute/(a measure word)/(a unit of length = 0.33 centimeter), part"	
89	此	36.81274345	0.196835155	ci3	this/these	
90	心	37.00946657	0.196723122	xin1	heart/mind	
91	前	37.20374892	0.194282352	qian2	before/in front/ago/former/previous/earlier/front	
92	面	37.39703379	0.193284873	mian4	"fade/side/surface/aspect/top/face/flour/noodles, flour/noodles"	
93	又	37.58990762	0.192873828	you4	(once) again/also/both... and.../again	
94	定	37.78258597	0.19267835	ding4	to set/to fix/to determine/to decide/to order	
95	见	37.97357803	0.190992063	jian4/xian4	"to see/to meet/to appear (to be sth)/to interview, appear"	
96	只	38.16373255	0.19015452	qi2/zhi1/zhi3	"earth-spirit/peace, (a measure word, for birds and some animals, etc.)/single/only, M for one of a pair, only/merely/just/but, but/only"	
97	主	38.35237038	0.188637827	zhu3	to own/to host/master/lord/primary	
98	没	38.53865513	0.186284751	mei2/mo4	"(negative prefix for verbs)/have not/not, drowned/to end/to die/to inundate"	
99	公	38.72449755	0.185842415	gong1	just/honorable (designation)/public/common	
100	从	38.90975546	0.185257912	cong1/cong2/zong4	"lax/yielding/unhurried, from/obey/observe/follow, second cousin"	
101	知	39.09448411	0.184728653	zhi1	to know/to be aware	
102	使	39.27786489	0.183380782	shi3	to make/to cause/to enable/to use/to employ/messenger	
103	部	39.4593446	0.181479701	bu4	"ministry/department/section/part/division/troops/board/(a measure word)/(a measure word for works of literature, films, machines, etc.)"	
104	本	39.6372265	0.177881901	ben3	roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word)	
105	动	39.81500718	0.177780685	dong4	to use/to act/to move/to change	
106	现	39.98824976	0.173242582	xian4	appear/present/now/existing/current	
107	因	40.16117749	0.172927731	yin1	cause/reason/because	
108	开	40.33320742	0.172029923	kai1	open/operate (vehicle)/start	
109	些	40.50454312	0.171335705	xie1	some/few/several/(a measure word)	
110	理	40.67412571	0.169582584	li3	reason/logic/science/inner principle or structure	
111	长	40.84240987	0.168284162	chang2/zhang3	"length/long/forever/always/constantly, chief/head/elder/to grow/to develop"	
112	明	41.00900736	0.166597488	ming2	clear/bright/to understand/next/the Ming dynasty	
113	样	41.17400123	0.164993873	yang4	manner/pattern/way/appearance/shape	
114	意	41.33895918	0.164957945	yi4	idea/meaning/wish/desire/(abbr.) Italy	
115	已	41.50284161	0.16388243	yi3	already/to stop/then/afterwards	
116	月	41.66503466	0.162193052	yue4	moon/month	
117	正	41.82687461	0.161839955	zheng1/zheng4	"Chinese 1st month of year, just (right)/main/upright/straight/correct/principle"	
118	想	41.98684671	0.159972097	xiang3	to think/to believe/to suppose/to wish/to want/to miss	
119	实	42.14655147	0.159704764	shi2	real/true/honest/really/solid	
120	把	42.30614111	0.15958964	ba3/ba4	"(a measure word)/(marker for direct-object)/to hold/to contain/to grasp/to take hold of, handle"	
121	但	42.46361256	0.157471447	dan4	but/yet/however/only/merely/still	
122	相	42.62015607	0.156543506	xiang1/xiang4	"each other/one another/mutually, appearance/portrait/picture"	
123	两	42.77541235	0.155256287	liang3	both/two/ounce/some/a few/tael	
124	民	42.92961669	0.154204337	min2	the people/nationality/citizen	
125	她	43.08288072	0.153264034	ta1	she	
126	力	43.23554248	0.15266176	li4	power/force/strength	
127	文	43.38737636	0.151833876	wen2	language/culture/writing/formal/literary	
128	等	43.53617105	0.148794695	deng3	class/rank/grade/equal to/same as/wait for/await/et cetera/and so on	
129	外	43.68364917	0.147478116	wai4	outside/in addition/foreign/external	
130	第	43.8311099	0.147460732	di4	"(prefix before a number, for ordering numbers, e.g. ""first"", ""number two"", etc)"	
131	王	43.97789071	0.146780808	wang2	king/Wang (proper name)	
132	高	44.12286122	0.144970512	gao1	high/tall	
133	问	44.2678159	0.144954673	wen4	to ask	
134	太	44.41005667	0.142240773	tai4	highest/greatest/too (much)/very/extremely	
135	头	44.55130305	0.141246385	tou2/tou	"head, suff. for nouns"	
136	情	44.69092187	0.139618818	qing2	feeling/emotion/passion/situation	
137	西	44.83034405	0.139422181	xi1	west	
138	机	44.96733126	0.136987205	ji1	machine/opportunity/secret	
139	它	45.10345427	0.136123007	ta1	it	
140	回	45.2385203	0.135066035	hui2	(a measure word for matters or actions) a time/to circle/to go back/to turn around/to answer/to return/to revolve/Islam	
141	并	45.37314477	0.134624471	bing4	"and/furthermore/(not) at all/simultaneously/also/together with/to combine/to join/to merge, amalgamate/combine, and/also/together with"	
142	间	45.50726548	0.13412071	jian1/jian4	"between/among/space/(measure word), interstice/separate"	
143	手	45.64010129	0.132835809	shou3	hand/convenient	
144	四	45.77247197	0.132370679	si4	four/4	
145	关	45.90323324	0.130761269	guan1	(surname)/mountain pass/to close/to shut/to turn off/to concern/to involve	
146	重	46.03340189	0.130168654	chong2/zhong4	"to double/to repeat/repetition/iteration/again/a layer, heavy/serious"	
147	应	46.16318848	0.129786583	ying1/ying4	"ought, (surname)/to answer/to respond"	
148	工	46.29293179	0.129743316	gong1	work/worker/skill/profession/trade/craft/labor	
149	性	46.42239502	0.129463233	xing4	sex/nature/surname/suffix corresponding to -ness or -ity	
150	全	46.55154959	0.129154563	quan2	all/whole/entire/every/complete	
151	门	46.68002191	0.128472322	men2	opening/door/gate/doorway/gateway/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)	
152	老	46.80763737	0.127615464	lao3	(a prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family to indicate affection or familiarity)/old (of people)	
153	点	46.93473633	0.127098954	dian3	(downwards-right convex character stroke)/o'clock/(a measure word)/point/dot/(decimal) point)	
154	身	47.0618094	0.12707307	shen1	body/torso/person/life/status/pregnancy/(a measure word used for clothes) suit	
155	东	47.18825972	0.126450322	dong1	east	
156	由	47.31393895	0.125679227	you2	follow/from/it is for...to/reason/cause/because of/due to/by/to/to leave it (to sb)	
157	何	47.43869951	0.124760558	he2	carry/what/how/why/which	
158	向	47.56296364	0.124264136	xiang4	"direction/part/side/towards/to/guide/opposite to, guide/opposite to"	
159	至	47.68710531	0.124141673	zhi4	arrive/most/to/until	
160	物	47.81048362	0.123378304	wu4	thing/object/matter	
161	战	47.93347676	0.122993143	zhan4	to fight/fight/war/battle	
162	业	48.05619909	0.122722332	ye4	business/occupation/study	
163	被	48.17723282	0.121033727	bei4	by (marker for passive-voice sentences or clauses)/quilt/blanket/to cover/to wear	
164	政	48.29801814	0.120785323	zheng4	political/politics/government	
165	内	48.41845771	0.120439567	nei4	inside/inner/internal/within/interior	
166	五	48.53745205	0.118994343	wu3	five/5	
167	儿	48.65529323	0.117841177	er2/er	"son, non-syllabic dimi. suff."	
168	及	48.77304826	0.117755028	ji2	to reach/and	
169	入	48.8903227	0.117274445	ru4	to enter	
170	先	49.00653709	0.116214383	xian1	early/prior/former/in advance/first	
171	己	49.12204218	0.115505099	ji3	6th heavenly stem/self	
172	安	49.23752101	0.115478829	an1	content/calm/still/quiet/to pacify/peace	
173	或	49.35234773	0.114826721	huo4	maybe/perhaps/might/possibly/or	
174	利	49.46712114	0.114773408	li4	advantage/benefit/profit/sharp	
175	很	49.58146767	0.114346525	hen3	very/extremely	
176	最	49.69576861	0.114300939	zui4	(the) most/-est	
177	书	49.80962335	0.113854739	shu1	book/letter	
178	制	49.92333978	0.113716436	zhi4	"system/to make/to manufacture/to control/to regulate, manufacture"	
179	美	50.03694341	0.113603631	mei3	America/beautiful	
180	山	50.15054164	0.113598222	shan1	mountain/hill	
181	体	50.2636867	0.113145069	ti3	body/form/style/system	
182	什	50.37650997	0.112823264	shen2/shi2	"what, tenth (used in fractions)"	
183	新	50.48932435	0.112814379	xin1	meso- (chem.)/new/newly	
184	话	50.60096122	0.111636875	hua4	dialect/language/spoken words/speech/talk/words/conversation/what someone said	
185	名	50.71238485	0.111423626	ming2	name/(measure word for persons)/place (e.g. among winners)	
186	曰	50.8234407	0.111055849	yue1	to speak/to say	
187	合	50.93413147	0.110690777	ge3/he2	"one-tenth of a peck, Chinese musical note/fit/to join"	
188	加	51.04460205	0.110470574	jia1	to add/plus	
189	世	51.15493973	0.11033768	shi4	life/age/generation/era/world/lifetime	
190	平	51.26467938	0.109739657	ping2	flat/level/equal/to make the same score/to tie/to draw/calm/peaceful	
191	水	51.37410149	0.109422101	shui3	water/river	
192	常	51.4813884	0.10728691	chang2	always/ever/often/frequently/common/general/constant	
193	果	51.58823915	0.106850754	guo3	fruit/result	
194	位	51.69462246	0.106383307	wei4	position/location/(measure word for persons)/place/seat	
195	信	51.80026055	0.105638095	xin4	letter/true/to believe/sign/evidence	
196	度	51.90563286	0.105372307	du4	capacity/degree/standard	
197	产	52.01091631	0.105283453	chan3	to reproduce/to produce/give birth/products/produce/resources/estate/property	
198	立	52.11596256	0.105046253	li4	set up/to stand	
199	声	52.21955703	0.103594461	sheng1	"sound/voice/(a measure word, used for sounds)/tone/noise"	
200	南	52.32209992	0.102542898	nan2	south	
201	代	52.42367702	0.101577097	dai4	substitute/replace/generation/dynasty/geological era/era/age/period	
202	走	52.52464566	0.100968643	zou3	to walk/to go/to move	
203	女	52.62556138	0.100915717	nu:3/nv3	female/woman	
204	言	52.7263952	0.100833817	yan2	to speak/to say/talk/word	
205	马	52.82722167	0.100826477	ma3	horse/horse chess piece/Surname	
206	金	52.92795814	0.100736465	jin1	metal/money/gold	
207	处	53.02842997	0.100471835	chu3/chu4	"to reside/to live/to dwell/to be in/to stay/get along with/to be in a position of/deal with, a place/location/spot/point/office/department/bureau/respect"	
208	便	53.12888365	0.100453678	bian4/pian2	"ordinary/plain/convenient/handy/easy/then/so/thus/to relieve oneself, advantageous/cheap"	
209	通	53.22924732	0.100363666	tong1	go through/know well/to connect/to communicate/open	
210	命	53.32952522	0.100277903	ming4	life/fate	
211	特	53.429496	0.099970778	te2/te4	"special/unusual/extraordinary, male animal/special (-ly)"	
212	给	53.52946407	0.099968074	gei3/ji3	"to/for/for the benefit of/to give/to allow/to do sth (for sb)/(passive particle), to supply/provide"	
213	数	53.62927646	0.099812387	shu3/shu4/shuo4	"to count, number/figure/to count/to calculate/several, frequently/repeatedly"	
214	次	53.72882615	0.099549689	ci4	nth/number (of times)/order/sequence/next/second(ary)/(measure word)	
215	海	53.82837429	0.099548144	hai3	ocean/sea	
216	今	53.92699411	0.098619816	jin1	today/modern/present/current/this/now	
217	表	54.02500354	0.09800943	biao3	surface/exterior/to watch/to show/express/an example/a list or table/a meter/a watch/chart/external	
218	原	54.12271203	0.097708487	yuan2	former/original/primary/raw/level/cause/source	
219	斯	54.22027835	0.097566321	si1	(phonetic)/this	
220	义	54.31739924	0.097120894	yi4	justice/righteousness/meaning	
221	各	54.41441235	0.097013111	ge4	each/every	
222	州	54.51107468	0.096662332	zhou1	(United States) state/province/sub-prefecture	
223	化	54.60763541	0.09656073	hua4	to make into/to change into/-ization/to ... -ize/to transform	
224	口	54.70364795	0.096012541	kou3	mouth/(a measure word)	
225	任	54.79941055	0.095762592	ren4	to assign/to appoint/office/responsibility	
226	真	54.89516425	0.095753707	zhen1	real/true/genuine	
227	才	54.99084958	0.095685328	cai2	"ability/talent/endowment/gift/an expert/only (then)/only if/just, just/not until"	
228	几	55.0860211	0.095171522	ji1/ji3	"small table, almost, a few/how many, how much/how many/several/a few"	
229	教	55.18106282	0.095041719	jiao1/jiao4	"teach, religion/teaching"	
230	官	55.27590481	0.094841991	guan1	official/government	
231	少	55.37031722	0.094412403	shao3/shao4	"few/little/lack, young"	
232	司	55.46425908	0.093941865	si1	company/control	
233	德	55.55761876	0.093359681	de2	Germany/virtue/goodness/morality/ethics/kindness/favor/character/kind	
234	解	55.65090813	0.09328937	jie3/jie4/xie4	"to separate/to divide/to break up/to loosen/to explain/to untie/to emancipate, transport under guard, (surname)"	
235	神	55.74388729	0.092979155	shen2	God/unusual/mysterious/soul/spirit/divine essence/lively/spiritual being	
236	则	55.83686219	0.092974906	ze2	(expresses contrast with a previous sentence or clause)/standard/norm/rule/to imitate/to follow/then/principle	
237	必	55.92969532	0.092833126	bi4	certainly/must/will/necessarily	
238	兵	56.02228391	0.092588586	bing1	soldiers/a force/an army/weapons/arms/military/warlike	
239	气	56.11472414	0.092440239	qi4	"air/anger/gas, gas/air/smell/weather/vital breath/to make sb. angry/to get angry/to be enraged"	
240	打	56.20549432	0.090770177	da2/da3	"dozen, beat/strike/break/mix up/build/fight/fetch/make/tie up/issue/shoot/calculate/since/from"	
241	员	56.29509318	0.089598854	yuan2	person/employee/member	
242	再	56.38458154	0.089488366	zai4	again/once more/re-/second/another	
243	论	56.47360091	0.089019373	lun2/lun4	"the Analects (of Confucius), by the/per/discuss/theory/to talk (about)/to discuss"	
244	别	56.56255036	0.088949449	bie2/bie4	"leave/depart/separate/distinguish/classify/other/another/do not/must not/to pin, contrary/difficult/awkward"	
245	听	56.65121162	0.088661255	ting1/ting4	"listen/hear/obey, let/allow"	
246	提	56.73954721	0.088335587	di1/ti2	"carry (suspended), to carry/to lift/to put forward/(upwards character stroke)/lifting (brush stroke in painting)/to mention"	
247	万	56.82647697	0.086929767	wan4	Wan (surname)/ten thousand/a great number	
248	死	56.91314482	0.086667843	si3	to die/inpassable/uncrossable/inflexible/rigid	
249	更	56.99980068	0.086655867	geng1/geng4	"to change, more/even more/further/still/still more"	
250	比	57.0862773	0.086476614	bi3/bi4	"(particle used for comparison and ""-er than"")/to compare/to contrast/to gesture (with hands)/ratio, associate with/be near"	
251	受	57.17258316	0.086305861	shou4	to bear/to stand/to endure/(passive marker)/to receive	
252	百	57.25861396	0.0860308	bai3	hundred	
253	做	57.34445701	0.085843049	zuo4	to do/to make/to produce	
254	尔	57.43000684	0.085549832	er3	thus/so/like that/you/thou	
255	即	57.51490302	0.084896178	ji2	namely/right away/to approach/to draw near	
256	元	57.59956045	0.084657432	yuan2	(dynasty)/dollar/primary/first	
257	报	57.68403631	0.084475862	bao4	to announce/to inform/report/newspaper/recompense/revenge	
258	直	57.76823363	0.084197325	zhi2	straight/vertical/frank/directly/straightly/upright	
259	白	57.85223471	0.084001074	bai2	white/snowy/empty/blank/bright/clear/plain/pure/gratuitous	
260	总	57.93621763	0.083982917	zong3	always/to assemble/gather/total/overall/head/chief/general/in every case	
261	非	58.0192274	0.083009777	fei1	non-/not-/un-	
262	建	58.10203707	0.082809663	jian4	to establish/to found/to set up/to build/to construct	
263	夫	58.18478608	0.082749011	fu1	"porter, husband/man"	
264	北	58.2673736	0.082587529	bei3	north	
265	未	58.34942183	0.082048226	wei4	1-3 p.m./8th earthly branch/not yet/did not/have not/not	
266	张	58.431387	0.081965167	zhang1	(a measure word)/(a surname)/open up	
267	令	58.51330156	0.081914559	ling4	make or cause to be/order/command/decree/honorable	
268	反	58.59515044	0.081848884	fan3	wrong side out or up/anti-	
269	士	58.67657824	0.081427796	shi4	scholar/warrior/knight	
270	师	58.75772943	0.08115119	shi1	a division (milit.)/teacher/master/expert/model	
271	许	58.83859976	0.080870336	xu3	to allow/to permit/to praise/(surname)	
272	条	58.919151	0.080551235	tiao2	"measure word for long, thin things (i.e. ribbon, river, etc.)/a strip/item/article"	
273	变	58.99963501	0.080484015	bian4	to change/to become different/to transform/to vary/rebellion	
274	系	59.07943485	0.079799842	xi4	"be/connection/relation/tie up/bind, be/system/to tie/department/faculty, connect/to tie"	
275	计	59.15920727	0.079772414	ji4	to calculate/to compute/to count/reckon/ruse/to plan	
276	且	59.23897736	0.079770096	qie3	further/moreover	
277	认	59.31829508	0.079317715	ren4	to recognize/to know/to admit	
278	目	59.39734044	0.079045359	mu4	eye/item/section/list/catalogue/table of contents/order (taxonomy)/goal/name/title	
279	光	59.475979	0.078638564	guang1	light/ray/bright	
280	管	59.55445686	0.078477855	guan3	to take care (of)/to control/to manage/to be in charge of/to look after/to run/tube/pipe	
281	路	59.63275546	0.078298602	lu4	(surname)/road/path/way	
282	接	59.71099418	0.078238722	jie1	to extend/to connect/to receive/to join	
283	城	59.78905172	0.078057538	cheng2	city walls/city/town	
284	活	59.86688133	0.077829609	huo2	to live/alive/living/work/workmanship	
285	保	59.94434818	0.077466855	bao3	to defend/to protect/to insure or guarantee/to maintain/hold or keep/to guard	
286	结	60.02167751	0.077329325	jie1/jie2	knot/sturdy/to bear (fruit)/bond/to tie/to bind	
287	题	60.09892339	0.077245879	ti2	topic/subject/to inscribe/to superscribe	
288	却	60.17566705	0.076743663	que4	but/yet/however/while/to go back/to decline/to retreat/nevertheless	
289	指	60.25058419	0.074917141	zhi3	finger/to point/to direct/to indicate	
290	感	60.32541093	0.074826743	gan3	to feel/to move/to touch/to affect	
291	难	60.39988033	0.074469396	nan2/nan4	"difficult (to...)/problem/difficulty/difficult/not good, disaster/distress/to scold"	
292	量	60.47427478	0.07439445	liang2/liang4	"to measure, capacity/quantity/amount/to estimate"	
293	务	60.54860085	0.074326072	wu4	affair/business/matter	
294	治	60.62285855	0.074257693	zhi4	to rule/to govern/to manage/to control/to harness (a river)/cure/treatment/to heal	
295	取	60.69615894	0.073300391	qu3	to take/to get/to choose/to fetch	
296	场	60.76925072	0.073091779	chang3	"a courtyard/open space/place/field/a measure word/(a measure word, used for sport or recreation)"	
297	思	60.84216092	0.072910208	si1	to think/to consider	
298	电	60.91481925	0.072658327	dian4	electric/electricity/electrical	
299	空	60.98739491	0.072575655	kong1/kong4	"air/sky/empty/in vain, emptied/leisure"	
300	边	61.05991416	0.072519252	bian1	side/edge/margin/border/boundary	
301	统	61.13226034	0.072346181	tong3	to gather/to unite/to unify/whole	
302	件	61.2044744	0.072214059	jian4	"a measure word for thing, clothes, item"	
303	期	61.27659072	0.07211632	qi1	"a period of time/phase/stage/(used for issue of a periodical, courses of study)/time/term/period/to hope"	
304	克	61.34825775	0.07166703	ke4	"gram/subdue/to restrain/to overcome, subdue"	
305	帝	61.41988228	0.071624535	di4	emperor	
306	亲	61.49125146	0.071369177	qin1/qing4	"dear/intimate/parent/relation/closely related, parents-in-law of one's offspring"	
307	复	61.56237416	0.071122705	fu4	"again/recover/reply to a letter/to repeat/to duplicate, repeat, double, overlap"	
308	住	61.63345321	0.07107905	zhu4	to live/to dwell/to reside/to stop	
309	请	61.70430859	0.070855371	qing3	"to ask/to invite/please (do sth)/to treat (to a meal, etc)/to request"	
310	市	61.77492057	0.070611989	shi4	market/city	
